"age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y","False_prediction_probability","True_prediction_probability"
"32","2","2","3","2","False","False","2","11","2","2","999","0","3","-0.1","93.2","-42.0","4.153","5195.8","False","0.9021628716726834","0.0978371283273163"
"34","5","1","5","2","False","False","1","5","3","2","999","1","2","-1.8","92.893","-46.2","1.281","5099.1","False","0.8875312525205394","0.11246874747946004"
"35","1","2","5","2","True","False","1","10","4","1","999","1","2","-3.4","92.431","-26.9","0.74","5017.5","True","0.4145879988641855","0.5854120011358147"
"38","2","2","1","3","False","False","2","6","3","2","999","0","3","1.4","94.465","-41.8","4.959","5228.1","False","0.9037576447754574","0.09624235522454269"
"42","6","3","4","2","True","False","1","5","3","2","999","1","2","-1.8","92.893","-46.2","1.281","5099.1","False","0.8940080073063538","0.1059919926936455"
"49","7","3","2","2","False","False","2","11","4","6","999","0","3","-0.1","93.2","-42.0","4.076","5195.8","False","0.9255178996792935","0.0744821003207065"
"27","9","1","4","2","False","True","1","7","3","2","999","1","2","-2.9","92.469","-33.6","1.029","5076.2","True","0.4539357305321384","0.5460642694678617"
"52","3","2","4","2","False","True","1","5","5","2","999","0","3","-1.8","92.893","-46.2","1.313","5099.1","False","0.8863746793880941","0.1136253206119051"
"54","10","2","5","3","False","False","2","6","1","3","999","0","3","1.4","94.465","-41.8","4.961","5228.1","False","0.8925746330150632","0.107425366984937"
"59","6","2","6","2","False","False","1","7","4","1","999","0","3","1.4","93.918","-42.7","4.962","5228.1","False","0.8923801237690546","0.10761987623094532"
"48","2","2","3","3","False","False","1","5","4","1","999","0","3","-1.8","92.893","-46.2","1.266","5099.1","False","0.861405626569606","0.13859437343039338"
"47","6","2","6","2","False","False","1","7","1","2","999","0","3","1.4","93.918","-42.7","4.96","5228.1","False","0.9101583127050888","0.08984168729491096"
"27","3","2","5","2","False","False","1","5","2","1","999","0","3","-1.8","92.893","-46.2","1.266","5099.1","False","0.8435609076109556","0.15643909238904408"
"41","2","2","2","2","True","True","1","4","2","2","999","0","3","-1.8","93.075","-47.1","1.423","5099.1","False","0.8840155495384853","0.115984450461514"
"36","3","2","4","2","False","True","2","5","2","2","999","0","3","1.1","93.994","-36.4","4.857","5191.0","False","0.9206364997081893","0.07936350029181061"
"40","1","1","5","2","True","True","2","5","1","2","999","0","3","1.1","93.994","-36.4","4.857","5191.0","False","0.9191062185323786","0.08089378146762131"
"57","5","2","1","2","True","False","2","4","1","3","999","1","2","-1.8","93.075","-47.1","1.405","5099.1","False","0.8856767346103986","0.11432326538960094"
"31","11","3","5","2","True","True","1","7","3","7","999","0","3","1.4","93.918","-42.7","4.963","5228.1","False","0.9349697608101425","0.0650302391898578"
"65","8","2","1","2","False","False","1","6","1","2","999","0","3","-2.9","92.963","-40.8","1.266","5076.2","True","0.5209091194068075","0.47909088059319244"
"60","6","2","5","2","True","False","1","8","2","8","999","0","3","1.4","93.444","-36.1","4.965","5228.1","False","0.8903543976417505","0.1096456023582497"
"53","3","2","4","3","True","False","2","6","1","2","999","0","3","1.4","94.465","-41.8","4.865","5228.1","False","0.8975943696164207","0.10240563038357907"
"81","10","2","1","2","True","False","1","10","3","1","999","2","2","-1.1","94.601","-49.5","1.016","4963.6","True","0.5614981535251952","0.43850184647480495"
"81","10","2","1","2","True","False","1","8","1","4","999","0","3","-1.7","94.027","-38.3","0.898","4991.6","True","0.5746418625360017","0.4253581374639981"
"47","2","3","3","3","True","False","2","5","3","2","999","0","3","1.1","93.994","-36.4","4.857","5191.0","False","0.9129792371302148","0.08702076286978516"
"60","1","2","5","2","True","False","1","5","1","2","999","0","3","-1.8","92.893","-46.2","1.354","5099.1","True","0.6141791337171028","0.3858208662828973"
"55","7","3","5","3","False","False","1","11","5","2","999","0","3","-0.1","93.2","-42.0","4.021","5195.8","False","0.8797131891341051","0.12028681086589436"
"70","10","2","1","3","False","False","1","10","4","1","14","3","2","-1.1","94.601","-49.5","0.965","4963.6","True","0.6325551902511379","0.36744480974886207"
"32","2","2","6","2","True","False","1","5","5","1","999","1","2","-1.8","92.893","-46.2","1.25","5099.1","False","0.8454893090523597","0.15451069094763997"
"31","1","2","5","2","True","False","2","5","4","2","999","0","3","1.1","93.994","-36.4","4.86","5191.0","False","0.9271132945399653","0.07288670546003476"
"46","1","2","5","2","False","False","1","11","4","1","999","1","2","-0.1","93.2","-42.0","4.076","5195.8","False","0.8941450373266737","0.1058549626733257"
"36","3","2","4","2","True","False","2","6","5","2","999","0","3","1.4","94.465","-41.8","4.959","5228.1","False","0.9266239699951963","0.07337603000480361"
"68","10","2","1","3","True","False","1","6","1","3","999","0","3","-1.7","94.055","-39.8","0.754","4991.6","True","0.47471014146522583","0.5252898585347743"
"31","6","1","4","2","True","False","1","11","3","4","999","0","3","-0.1","93.2","-42.0","4.12","5195.8","False","0.907449197884594","0.09255080211540577"
"52","2","2","3","3","True","False","2","5","5","3","999","0","3","1.1","93.994","-36.4","4.855","5191.0","False","0.8984727667216794","0.10152723327832064"
"58","1","3","5","2","True","False","1","11","1","1","999","0","3","-0.1","93.2","-42.0","4.191","5195.8","True","0.7841983096824606","0.2158016903175392"
"54","2","2","1","3","True","True","2","5","1","1","999","0","3","1.1","93.994","-36.4","4.858","5191.0","False","0.8888166671889357","0.11118333281106382"
"40","8","1","5","2","False","False","2","6","1","3","999","0","3","1.4","94.465","-41.8","4.961","5228.1","False","0.9124738556945633","0.08752614430543675"
"44","1","2","5","2","True","False","2","5","4","2","999","0","3","1.1","93.994","-36.4","4.86","5191.0","False","0.9232423606982212","0.07675763930177888"
"42","6","1","5","2","True","False","1","8","2","2","999","0","3","1.4","93.444","-36.1","4.966","5228.1","False","0.9050177553748381","0.0949822446251618"
"30","11","1","4","2","False","False","1","5","5","11","999","0","3","-1.8","92.893","-46.2","1.25","5099.1","False","0.8437430225695305","0.15625697743046935"
"42","6","1","3","2","True","False","2","5","3","2","999","0","3","1.1","93.994","-36.4","4.857","5191.0","False","0.9149443816369822","0.08505561836301773"
"54","6","2","6","2","True","True","2","5","1","2","999","0","3","1.1","93.994","-36.4","4.857","5191.0","False","0.9096771284125935","0.090322871587406"
"29","1","2","5","2","True","False","2","5","4","1","999","0","3","1.1","93.994","-36.4","4.86","5191.0","False","0.9364661271464602","0.06353387285353974"
"47","7","2","5","2","True","False","1","9","1","1","3","2","1","-3.4","92.379","-29.8","0.771","5017.5","True","0.27040284882557764","0.7295971511744223"
"25","1","1","5","2","True","True","1","10","5","1","999","1","2","-3.4","92.431","-26.9","0.739","5017.5","True","0.5760223412458949","0.42397765875410515"
"43","2","2","1","3","True","True","2","5","2","2","999","0","3","1.1","93.994","-36.4","4.857","5191.0","False","0.9091786757208413","0.09082132427915861"
"38","7","2","4","3","False","False","2","5","4","2","999","0","3","1.1","93.994","-36.4","4.86","5191.0","False","0.9264714318145395","0.07352856818546022"
"30","2","1","4","2","False","False","2","7","3","1","999","0","3","1.4","93.918","-42.7","4.956","5228.1","False","0.918426029357867","0.08157397064213308"
"56","10","2","1","3","False","False","1","7","2","3","999","0","3","1.4","93.918","-42.7","4.961","5228.1","False","0.8799877277717596","0.12001227222824042"
"62","2","2","1","2","True","False","1","11","1","1","6","1","1","-3.4","92.649","-30.1","0.719","5017.5","True","0.221744172640379","0.778255827359621"
"36","1","1","5","2","False","True","1","8","5","2","999","0","3","1.4","93.444","-36.1","4.963","5228.1","False","0.9299226250195365","0.07007737498046339"
"33","3","2","4","2","False","False","2","5","1","2","999","0","3","1.1","93.994","-36.4","4.857","5191.0","False","0.9227651778648638","0.07723482213513579"
"41","2","3","3","2","False","False","1","8","2","1","999","0","3","1.4","93.444","-36.1","4.963","5228.1","False","0.91045250631461","0.08954749368538958"
"34","8","1","5","2","True","False","1","8","4","3","999","0","3","1.4","93.444","-36.1","4.963","5228.1","False","0.912338708522568","0.0876612914774317"
"58","1","3","4","2","False","False","1","8","2","1","999","0","3","1.4","93.444","-36.1","4.963","5228.1","False","0.8761172577610011","0.12388274223899833"
"41","1","3","4","2","False","False","1","4","5","1","999","0","3","-1.8","93.075","-47.1","1.405","5099.1","True","0.8256599321697508","0.17434006783024905"
"35","4","1","5","2","True","False","1","7","1","5","999","0","3","1.4","93.918","-42.7","4.96","5228.1","False","0.9372085373009463","0.0627914626990536"
"31","2","1","3","3","False","True","2","6","5","2","999","0","3","1.4","94.465","-41.8","4.959","5228.1","False","0.9171816194126925","0.08281838058730757"
"43","3","2","4","2","False","False","2","5","1","1","999","0","3","1.1","93.994","-36.4","4.857","5191.0","False","0.9249428474626141","0.0750571525373855"
"42","6","3","6","2","True","False","1","8","1","1","999","0","3","1.4","93.444","-36.1","4.97","5228.1","False","0.9000705382874196","0.09992946171258003"
"47","8","2","1","3","True","False","2","7","2","2","999","0","3","1.4","93.918","-42.7","4.961","5228.1","False","0.9067625071499208","0.09323749285007932"
"45","4","3","3","2","True","False","1","5","2","3","999","0","3","-1.8","92.893","-46.2","1.344","5099.1","False","0.8928047873302684","0.10719521266973095"
"36","1","2","5","3","True","False","1","8","3","11","999","0","3","1.4","93.444","-36.1","4.964","5228.1","False","0.9419592423070833","0.058040757692916944"
"32","1","2","5","2","True","False","2","5","4","5","999","0","3","-1.8","92.893","-46.2","1.266","5099.1","False","0.8872451066983008","0.1127548933016989"
"63","10","2","4","2","False","False","1","10","3","1","999","0","3","-3.4","92.431","-26.9","0.74","5017.5","True","0.5937344375019723","0.4062655624980277"
"30","6","2","5","2","False","True","1","6","5","1","999","1","2","-1.7","94.055","-39.8","0.748","4991.6","True","0.45108058071961443","0.5489194192803855"
"31","6","1","6","2","True","False","1","11","4","1","999","0","3","-0.1","93.2","-42.0","4.076","5195.8","False","0.8703378636331729","0.12966213636682652"
"31","1","1","5","2","True","False","1","11","4","1","999","0","3","-0.1","93.2","-42.0","4.076","5195.8","False","0.8875363275231497","0.1124636724768498"
"30","1","2","2","2","True","True","1","7","4","1","999","0","3","1.4","93.918","-42.7","4.958","5228.1","False","0.9218066368384769","0.0781933631615227"
"39","1","2","4","2","True","False","2","7","5","1","999","0","3","1.4","93.918","-42.7","4.959","5228.1","False","0.9381779244931363","0.061822075506863604"
"27","9","1","4","2","False","False","1","5","1","2","999","1","2","-1.8","92.893","-46.2","1.354","5099.1","False","0.8434001269854923","0.15659987301450717"
"58","1","2","4","2","False","False","1","8","5","1","999","0","3","1.4","93.444","-36.1","4.966","5228.1","False","0.8751777010793593","0.12482229892064053"
"34","7","1","4","2","True","False","1","11","3","1","999","0","3","-0.1","93.2","-42.0","4.12","5195.8","False","0.8937945566633424","0.10620544333665723"
